0199    17-04-2017 21:29:05    Alarm Stop            Motion Detect, Channel 4
0200    17-04-2017 21:29:07    Alarm Start           Motion Detect, Channel 4
0201    17-04-2017 21:29:07    Alarm Stop            Motion Detect, Channel 4
0202    17-04-2017 21:29:10    Alarm Start           Motion Detect, Channel 4
0203    17-04-2017 21:29:11    Alarm Stop            Motion Detect, Channel 4
0204    17-04-2017 21:29:26    Alarm Start           Motion Detect, Channel 4
0205    17-04-2017 21:29:27    Alarm Stop            Motion Detect, Channel 4
0206    17-04-2017 21:29:32    Alarm Start           Motion Detect, Channel 4
0207    17-04-2017 21:29:33    Alarm Stop            Motion Detect, Channel 4
0208    17-04-2017 21:29:48    Alarm Start           Motion Detect, Channel 4
0209    17-04-2017 21:29:48    Alarm Stop            Motion Detect, Channel 4
0210    17-04-2017 21:29:50    Alarm Start           Motion Detect, Channel 4
0211    17-04-2017 21:29:50    Alarm Stop            Motion Detect, Channel 4
0212    17-04-2017 21:29:54    Alarm Start           Motion Detect, Channel 4
0213    17-04-2017 21:29:54    Alarm Stop            Motion Detect, Channel 4
0214    17-04-2017 21:30:02    Alarm Start           Motion Detect, Channel 4
0215    17-04-2017 21:30:02    Alarm Stop            Motion Detect, Channel 4
0216    17-04-2017 21:30:07    Alarm Start           Motion Detect, Channel 4
0217    17-04-2017 21:30:07    Alarm Stop            Motion Detect, Channel 4
0218    17-04-2017 21:30:22    Alarm Start           Motion Detect, Channel 4
0219    17-04-2017 21:30:23    Alarm Stop            Motion Detect, Channel 4
0220    17-04-2017 21:30:28    Alarm Start           Motion Detect, Channel 4
0221    17-04-2017 21:30:29    Alarm Stop            Motion Detect, Channel 4
0222    17-04-2017 21:30:46    Alarm Start           Motion Detect, Channel 4
0223    17-04-2017 21:30:47    Alarm Stop            Motion Detect, Channel 4
0224    17-04-2017 21:31:00    Alarm Start           Motion Detect, Channel 4
0225    17-04-2017 21:31:01    Alarm Stop            Motion Detect, Channel 4
0226    17-04-2017 21:31:03    Alarm Start           Motion Detect, Channel 4
0227    17-04-2017 21:31:03    Alarm Stop            Motion Detect, Channel 4
0228    17-04-2017 21:31:41    Alarm Start           Motion Detect, Channel 2
0229    17-04-2017 21:31:43    Alarm Stop            Motion Detect, Channel 2
0230    17-04-2017 21:31:52    Alarm Start           Motion Detect, Channel 4
0231    17-04-2017 21:31:52    Alarm Stop            Motion Detect, Channel 4
0232    17-04-2017 21:32:21    Alarm Start           Motion Detect, Channel 4
0233    17-04-2017 21:32:21    Alarm Stop            Motion Detect, Channel 4
0234    17-04-2017 21:32:37    Alarm Start           Motion Detect, Channel 4
0235    17-04-2017 21:32:38    Alarm Stop            Motion Detect, Channel 4
0236    17-04-2017 21:33:38    Alarm Start           Motion Detect, Channel 3
0237    17-04-2017 21:33:39    Alarm Stop            Motion Detect, Channel 3
0238    17-04-2017 21:33:41    Alarm Start           Motion Detect, Channel 2
0239    17-04-2017 21:33:41    Alarm Stop            Motion Detect, Channel 2
0240    17-04-2017 21:33:43    Alarm Start           Motion Detect, Channel 2
0241    17-04-2017 21:33:43    Alarm Stop            Motion Detect, Channel 2
0242    17-04-2017 21:33:45    Alarm Start           Motion Detect, Channel 3
0243    17-04-2017 21:33:46    Alarm Stop            Motion Detect, Channel 3
0244    17-04-2017 21:36:42    Log In                admin<Web:0.0.0.0>
0245    17-04-2017 21:36:43    Log Out               admin<Web:0.0.0.0>
0246    17-04-2017 21:37:18    Export log            EEA79ED5D009FEF1393656C33AB6C3C3(English)
0247    17-04-2017 21:37:25    Log Out               admin<Web:0.0.0.0>
0248    17-04-2017 21:43:04    Alarm Start           Motion Detect, Channel 2
0249    17-04-2017 21:43:04    Alarm Start           Motion Detect, Channel 3
0250    17-04-2017 21:43:04    Alarm Stop            Motion Detect, Channel 2
0251    17-04-2017 21:43:04    Alarm Stop            Motion Detect, Channel 3
0252    17-04-2017 21:43:06    Alarm Start           Motion Detect, Channel 2
0253    17-04-2017 21:43:08    Alarm Stop            Motion Detect, Channel 2
0254    17-04-2017 21:43:09    Alarm Start           Motion Detect, Channel 1
0255    17-04-2017 21:43:10    Alarm Stop            Motion Detect, Channel 1
0256    17-04-2017 21:43:11    Alarm Start           Motion Detect, Channel 3
0257    17-04-2017 21:43:11    Alarm Stop            Motion Detect, Channel 3
0258    17-04-2017 21:43:19    Alarm Start           Motion Detect, Channel 3
0259    17-04-2017 21:43:19    Alarm Start           Motion Detect, Channel 1
0260    17-04-2017 21:43:19    Alarm Stop            Motion Detect, Channel 3
0261    17-04-2017 21:43:20    Alarm Stop            Motion Detect, Channel 1
0262    17-04-2017 21:43:20    Alarm Start           Motion Detect, Channel 2
0263    17-04-2017 21:43:21    Alarm Start           Motion Detect, Channel 3
0264    17-04-2017 21:43:21    Alarm Stop            Motion Detect, Channel 3
0265    17-04-2017 21:43:22    Alarm Stop            Motion Detect, Channel 2
0266    17-04-2017 21:44:06    Alarm Start           Motion Detect, Channel 3
0267    17-04-2017 21:44:06    Alarm Stop            Motion Detect, Channel 3
0268    17-04-2017 21:44:07    Alarm Start           Motion Detect, Channel 2
0269    17-04-2017 21:44:07    Alarm Stop            Motion Detect, Channel 2
0270    17-04-2017 21:44:09    Alarm Start           Motion Detect, Channel 2
0271    17-04-2017 21:44:09    Alarm Stop            Motion Detect, Channel 2
0272    17-04-2017 21:44:10    Alarm Start           Motion Detect, Channel 3
0273    17-04-2017 21:44:10    Alarm Stop            Motion Detect, Channel 3
0274    17-04-2017 21:46:44    Alarm Start           Motion Detect, Channel 3
0275    17-04-2017 21:46:44    Alarm Start           Motion Detect, Channel 2
0276    17-04-2017 21:46:44    Alarm Stop            Motion Detect, Channel 3
0277    17-04-2017 21:46:46    Alarm Start           Motion Detect, Channel 3
0278    17-04-2017 21:46:46    Alarm Stop            Motion Detect, Channel 3
0279    17-04-2017 21:46:48    Alarm Start           Motion Detect, Channel 3
0280    17-04-2017 21:46:49    Alarm Stop            Motion Detect, Channel 3
0281    17-04-2017 21:46:49    Alarm Stop            Motion Detect, Channel 2
0282    17-04-2017 21:53:52    Alarm Start           Motion Detect, Channel 4
0283    17-04-2017 21:53:52    Alarm Stop            Motion Detect, Channel 4
0284    17-04-2017 21:54:04    Alarm Start           Motion Detect, Channel 4
0285    17-04-2017 21:54:04    Alarm Stop            Motion Detect, Channel 4
0286    17-04-2017 21:54:06    Alarm Start           Motion Detect, Channel 4
0287    17-04-2017 21:54:06    Alarm Stop            Motion Detect, Channel 4
0288    17-04-2017 21:54:09    Alarm Start           Motion Detect, Channel 4
0289    17-04-2017 21:54:10    Alarm Stop            Motion Detect, Channel 4
0290    17-04-2017 21:54:12    Alarm Start           Motion Detect, Channel 4
0291    17-04-2017 21:54:13    Alarm Stop            Motion Detect, Channel 4
0292    17-04-2017 21:54:28    Alarm Start           Motion Detect, Channel 4
0293    17-04-2017 21:54:28    Alarm Stop            Motion Detect, Channel 4
0294    17-04-2017 21:54:55    Alarm Start           Motion Detect, Channel 4
0295    17-04-2017 21:54:55    Alarm Stop            Motion Detect, Channel 4
0296    17-04-2017 21:55:28    Alarm Start           Motion Detect, Channel 4
0297    17-04-2017 21:55:29    Alarm Stop            Motion Detect, Channel 4
0298    17-04-2017 21:55:52    Alarm Start           Motion Detect, Channel 4
